0.100000 20.126628 20.162170 20.995328
0.200000 19.812057 18.925109 19.011981
0.300000 19.503790 18.861134 18.693242
0.400000 18.829040 19.084842 19.434936
0.500000 19.582333 18.910293 18.714145
0.600000 19.276224 19.520842 18.978624
0.700000 19.191006 18.921928 18.215069
0.800000 19.258636 18.503554 18.867055
0.900000 20.163824 21.071667 18.664248
1.000000 18.935871 18.563276 18.135863
1.100000 17.648592 17.161487 17.351603
1.200000 15.957815 15.299988 15.173973
1.300000 13.637517 13.704973 13.311417
1.400000 11.902822 11.769277 11.513916
1.500000 10.413687 10.275746 10.092310
1.600000 9.350108 9.038392 9.153463
1.700000 8.095562 8.099203 8.465614
1.800000 7.596739 7.465245 7.282798
1.900000 7.192639 7.019951 6.785043
2.000000 6.412109 6.376301 6.459313
2.100000 6.133873 5.908051 6.314353
2.200000 5.573936 5.679754 5.614597
2.300000 5.424037 5.234665 5.204144
2.400000 4.106822 4.276565 4.037586
