1000 0.460458 0.706244
1122 0.419580 0.758409
1258 0.471722 0.825825
1412 0.511095 0.956772
1584 0.726667 0.960824
1778 0.773596 0.985130
1995 0.890049 1.138722
2238 1.108172 1.275909
2511 1.390338 1.383238
2818 1.641552 1.410584
3162 2.126458 1.663222
3548 2.419287 1.736815
3981 3.040643 2.120922
4466 3.797076 2.338853
5011 5.666456 2.456257
5623 5.990949 2.631423
6309 9.894094 2.731240
7079 12.519634 3.151139
7943 10.806427 3.894319
8912 17.643849 4.180321
9999 17.950877 4.306658
11220 23.728659 4.205861
12589 31.346586 4.098667
14125 47.637523 3.773412
15848 47.145498 3.790348
