36 4.353716 10.399054 4.911765 4.389260 3.805915 7.173781
32 4.352151 7.431015 6.280175 8.793233 4.415322 7.906082
28 4.264778 3.948138 5.178892 6.579568 4.606914 5.281259
24 4.246538 5.334699 5.759042 4.157196 3.631518 5.467565
18 8.720749 4.899072 5.076634 4.876375 5.511095 4.252646
16 4.306718 7.410253 5.691277 5.914505 4.950395 5.287139
14 5.331735 4.694322 5.756722 5.272046 5.671209 7.986463
12 5.070482 8.040384 5.959949 5.313178 6.762965 5.995426
10 7.905550 8.103752 7.735982 6.743124 5.523280 8.299533
8 7.480197 8.619174 8.725752 7.873028 6.725075 6.423758
6 7.940248 9.628974 8.128189 7.834936 8.998732 8.090939
4 10.710083 12.592006 10.261513 10.083979 10.283998 11.309686
2 20.753921 20.362665 19.486278 21.219887 22.753313 19.820580
1 36.156801 37.560395 32.807167 39.012661 33.877332 35.945613
