1000 2.667661 32.595228
1122 4.708983 28.011107
1258 4.936208 29.566829
1412 6.097768 36.441220
1584 6.491291 46.734194
1778 6.999918 55.052913
1995 13.186164 64.421218
2238 14.598578 78.886759
2511 14.738690 99.731531
2818 28.341663 117.156035
3162 36.796076 128.276150
3548 36.347011 156.774929
3981 39.827680 170.917226
4466 71.942478 203.181517
5011 64.884217 225.169714
5623 94.100939 276.447857
6309 108.167853 374.630673
7079 222.729139 474.739443
7943 174.509238 556.737852
8912 212.328063 659.170741
9999 355.858605 801.267413
11220 509.403635 960.114972
