0.010000 2.666603 2.335115 2.270306 2.265361 2.285476
0.010471 2.267988 2.286789 2.278366 2.281425 2.298022
0.010965 2.268340 2.299572 2.301876 2.455528 2.266837
0.011482 2.271097 2.288520 2.272934 2.280703 2.278335
0.012023 2.267233 2.291522 2.287742 2.287167 2.296616
0.012589 2.278922 2.312893 2.284193 2.261669 2.283942
0.013183 2.288394 2.288656 2.261648 2.271571 2.297002
0.013804 2.267103 2.278910 2.262276 2.254897 2.287659
0.014454 2.280334 2.292860 2.276879 2.263954 2.286269
0.015136 2.267184 2.301316 2.271745 2.258761 2.291954
0.015849 2.269038 2.273119 2.268394 2.267800 2.296235
0.016596 2.273576 2.301063 2.277667 2.260759 2.305685
0.017378 2.269281 2.280021 2.264760 2.277412 2.295640
0.018197 2.271692 2.281211 2.269865 2.286101 2.290642
0.019055 2.272688 2.288291 2.263379 2.271099 2.295916
0.019953 2.275771 2.291073 2.273996 2.273931 2.292266
0.020893 2.273039 2.302212 2.264502 2.247963 2.288018
0.021878 2.280329 2.289802 2.264242 2.288825 2.282604
0.022909 2.265426 2.285028 2.263323 2.256732 2.297965
0.023988 2.265516 2.279691 2.259040 2.268414 2.301744
0.025119 2.284442 2.297487 2.268627 2.252681 2.269210
0.026303 2.269351 2.279843 2.270260 2.251322 2.285099
0.027542 2.267822 2.298426 2.263886 2.255326 2.281767
0.028840 2.252792 2.293148 2.263938 2.270426 2.273427
0.030200 2.252413 2.273988 2.253721 2.278625 2.295940
0.031623 2.254507 2.292776 2.262275 2.262035 2.274987
0.033113 2.261213 2.284192 2.254610 2.245626 2.277193
0.034674 2.247847 2.274832 2.263204 2.263959 2.280462
0.036308 2.255187 2.248293 2.254974 2.243116 2.263612
0.038019 2.249493 2.260657 2.246787 2.558979 3.038765
0.039811 2.245233 2.251983 2.218772 2.232396 2.274260
0.041687 2.465728 2.266430 2.245789 2.228151 2.533953
0.043652 2.281501 2.210347 2.199624 2.200727 2.205792
0.045709 2.284805 2.253518 2.174189 2.326533 2.181843
